x,age,total area,road width,street section,floors,main use,price-per-unit,Region
30198,69,2,0,6,5,1,25,0
46449,69,2,0,6,5,1,10,0
6847,76,2,0,6,1,2,20,0
31054,17,3,0,6,0,1,30,0
21643,18,3,0,6,0,1,40,0
3316,17,4,0,6,0,1,25,0
3915,17,4,0,6,0,1,14,0
4622,17,4,0,6,0,1,12,0
4891,17,4,0,6,0,1,22,0
5292,17,4,0,6,0,1,20,0
5673,17,4,0,6,0,1,10,0
5913,17,4,0,6,0,1,16,0
6443,17,4,0,6,0,1,24,0
6896,17,4,0,6,0,1,30,0
7554,17,4,0,6,0,1,4,0
7702,17,4,0,6,0,1,5,0
8988,17,4,0,6,0,3,35,0
9020,17,4,0,6,0,1,20,0
9074,17,4,0,6,0,1,30,0
13002,17,4,0,6,0,1,15,0
13379,17,4,0,6,0,1,15,0
13504,17,4,0,6,6,1,40,0
14171,17,4,0,6,0,1,15,0
14184,17,4,0,6,0,1,15,0
14668,17,4,0,6,0,1,8,0
14912,17,4,0,6,0,1,30,0
15224,17,4,0,6,0,1,10,0
15444,17,4,0,6,0,1,35,0
15698,17,4,0,6,0,1,25,0
15889,17,4,0,6,0,1,16,0
16043,17,4,0,6,0,1,25,0
16891,17,4,0,6,0,1,21,0
17096,17,4,0,6,0,1,20,0
17828,17,4,0,6,0,1,30,0
17833,17,4,0,6,0,1,24,0
18560,17,4,0,6,0,1,10,0
19713,17,4,0,6,0,1,15,0
19810,17,4,0,6,0,1,24,0
19887,17,4,0,6,0,4,20,0
21186,17,4,0,6,0,1,30,0
21485,17,4,0,6,0,1,20,0
21649,17,4,0,6,0,1,20,0
22110,17,4,0,6,0,1,12,0
23102,17,4,0,6,0,1,20,0
23156,17,4,0,6,0,1,10,0
24229,17,4,0,6,0,1,10,0
24939,17,4,0,6,0,1,30,0
25137,17,4,0,6,0,1,10,0
25867,17,4,0,6,0,1,12,0
25937,17,4,0,6,0,1,8,0
26022,17,4,0,6,0,1,40,0
26085,17,4,0,6,0,1,6,0
26731,17,4,0,6,0,1,25,0
27366,17,4,0,6,0,1,20,0
27427,17,4,0,6,0,1,40,0
27687,17,4,0,6,0,1,15,0
27853,17,4,0,6,0,2,20,0
27932,17,4,0,6,0,1,12,0
28207,17,4,0,6,0,1,20,0
28429,17,4,0,6,0,1,40,0
28648,17,4,0,6,0,1,12,0
29084,17,4,0,6,0,2,12,0
29163,17,4,0,6,0,1,14,0
29189,17,4,0,6,0,2,24,0
29437,17,4,0,6,0,1,20,0
29604,17,4,0,6,0,1,40,0
30094,17,4,0,6,0,1,5,0
30388,17,4,0,6,0,1,15,0
30698,17,4,0,6,0,1,23,0
31705,17,4,0,6,0,1,40,0
32378,17,4,0,6,0,1,20,0
33017,17,4,0,6,0,1,15,0
33768,17,4,0,6,0,1,20,0
33977,17,4,0,6,0,1,20,0
34751,17,4,0,6,0,1,10,0
35082,17,4,0,6,5,1,30,0
35488,17,4,0,6,0,1,25,0
35518,17,4,0,6,0,1,18,0
35662,17,4,0,6,0,1,15,0
35750,17,4,0,6,0,1,10,0
35778,17,4,0,6,0,2,12,0
40301,17,4,0,6,0,1,20,0
40641,17,4,0,6,0,1,15,0
40673,17,4,0,6,0,1,25,0
40686,17,4,0,6,0,1,10,0
40869,17,4,0,6,0,2,15,0
40904,17,4,0,6,0,1,15,0
41084,17,4,0,6,0,1,20,0
41143,17,4,0,6,0,1,18,0
41735,17,4,0,6,0,1,12,0
41823,17,4,0,6,0,1,20,0
42005,17,4,0,6,0,1,20,0
43075,17,4,0,6,0,1,30,0
43244,17,4,0,6,0,1,12,0
43318,17,4,0,6,0,1,30,0
43449,17,4,0,6,0,1,15,0
43469,17,4,0,6,0,1,20,0
43711,17,4,0,6,0,1,12,0
43975,17,4,0,6,0,1,20,0
44041,17,4,0,6,0,2,15,0
44374,17,4,0,6,0,1,10,0
44854,17,4,0,6,0,1,10,0
45227,17,4,0,6,0,1,16,0
45508,17,4,0,6,0,1,5,0
45966,17,4,0,6,0,1,20,0
46233,17,4,0,6,0,1,15,0
46264,17,4,0,6,0,1,10,0
46610,17,4,0,6,0,1,26,0
47116,17,4,0,6,0,1,30,0
47321,17,4,0,6,0,1,12,0
47940,17,4,0,6,0,1,24,0
48729,17,4,0,6,0,1,20,0
3812,18,4,0,6,0,1,40,0
6075,18,4,0,6,0,1,40,0
6495,18,4,0,6,0,1,12,0
6570,18,4,0,6,0,1,25,0
7539,18,4,0,6,0,1,40,0
12655,18,4,0,6,0,1,40,0
13011,18,4,0,6,0,2,20,0
14526,18,4,0,6,0,4,40,0
18886,18,4,0,6,0,1,27,0
19087,18,4,0,6,0,1,10,0
22125,18,4,0,6,0,1,6,0
22132,18,4,0,6,0,1,11,0
22529,18,4,0,6,0,1,35,0
22783,18,4,0,6,0,1,36,0
23439,18,4,0,6,0,1,30,0
24890,18,4,0,6,0,1,40,0
26008,18,4,0,6,0,1,20,0
26112,18,4,0,6,0,1,56,0
28053,18,4,0,6,0,1,15,0
28615,18,4,0,6,0,2,40,0
30494,18,4,0,6,0,1,30,0
32269,18,4,0,6,0,1,40,0
34169,18,4,0,6,0,1,40,0
35391,18,4,0,6,0,1,20,0
40340,18,4,0,6,0,1,20,0
41616,18,4,0,6,0,2,10,0
45274,18,4,0,6,0,1,28,0
45790,18,4,0,6,0,1,3,0
46649,18,4,0,6,0,1,40,0
47883,18,4,0,6,0,1,40,0
48149,18,4,0,6,0,2,15,0
38767,26,4,0,6,5,1,40,0
10551,29,4,0,6,1,2,38,0
39776,26,4,0,6,0,2,30,0
38768,32,4,0,6,5,1,22,1
39942,25,4,0,6,0,1,30,0
39,45,4,0,6,0,1,40,0
1338,21,4,0,6,0,1,40,0
338,43,4,0,6,8,1,40,0
4388,19,4,0,6,0,1,24,0
5466,19,4,0,6,0,1,40,0
6044,19,4,0,6,0,1,40,0
6872,19,4,0,6,0,1,40,0
18857,19,4,0,6,0,2,40,0
21958,19,4,0,6,0,1,30,0
22082,19,4,0,6,1,1,40,0
23518,19,4,0,6,1,1,40,0
23753,19,4,0,6,0,1,40,0
27065,19,4,0,6,0,2,20,0
29126,19,4,0,6,0,1,40,0
29233,19,4,0,6,0,1,25,0
35119,19,4,0,6,0,1,40,0
41920,19,4,0,6,0,1,39,0
45143,19,4,0,6,0,1,45,0
46179,19,4,0,6,0,1,25,0
6,51,4,0,6,0,1,30,0
10702,19,4,0,6,5,1,55,0
38259,23,4,0,6,5,1,40,0
7599,20,4,0,6,0,1,40,0
12460,20,4,0,6,0,1,30,0
17651,20,4,0,6,0,1,40,0
18734,20,4,0,6,0,3,40,0
22140,20,4,0,6,0,1,40,0
23912,20,4,0,6,0,1,50,0
26440,20,4,0,6,6,1,40,0
29071,20,4,0,6,#N/A,1,36,0
43468,20,4,0,6,0,1,35,0
47073,20,4,0,6,0,1,40,0
39227,37,4,0,6,5,1,40,0
10725,32,4,0,6,0,1,16,0
35923,37,4,0,6,0,1,24,0
35844,23,4,0,6,5,2,40,0
37168,43,4,0,6,5,1,40,0
37215,22,4,0,6,5,1,40,0
1424,55,4,0,6,0,1,40,0
5187,21,4,0,6,5,1,30,0
8250,21,4,0,6,5,1,44,0
12524,21,4,0,6,0,1,40,0
12662,21,4,0,6,0,1,50,0
13183,21,4,0,6,0,1,40,0
17148,21,4,0,6,0,1,40,0
20108,21,4,0,6,5,1,70,0
20376,21,4,0,6,5,1,36,0
23374,21,4,0,6,0,1,39,0
25381,21,4,0,6,5,1,50,0
31218,21,4,0,6,#N/A,1,40,0
32407,21,4,0,6,0,2,25,0
33214,21,4,0,6,0,3,40,0
33558,21,4,0,6,5,1,40,0
35066,21,4,0,6,0,1,35,0
35286,21,4,0,6,0,2,40,0
40434,21,4,0,6,5,1,40,0
47557,21,4,0,6,5,1,35,0
1990,28,4,0,6,1,1,40,0
23549,19,4,0,6,#N/A,1,40,0
38225,30,4,0,6,0,1,20,0
38540,29,4,0,6,0,1,20,0
10352,17,4,0,6,5,1,40,1
38705,25,4,0,6,0,1,8,0
37482,40,4,0,6,0,1,16,0
10616,23,4,0,6,0,1,35,0
10782,38,4,0,6,5,1,30,0
10914,38,4,0,6,#N/A,1,70,0
868,26,4,0,6,5,1,40,0
39861,19,4,0,6,0,1,40,0
4492,22,4,0,6,0,1,15,0
4925,22,4,0,6,5,1,40,0
5963,22,4,0,6,5,1,40,0
6154,22,4,0,6,0,2,40,0
7358,22,4,0,6,5,1,40,0
8230,22,4,0,6,0,2,40,0
8279,22,4,0,6,0,1,30,0
8402,22,4,0,6,0,1,35,0
15899,22,4,0,6,0,1,40,0
17820,22,4,0,6,5,1,40,0
18502,22,4,0,6,0,1,30,0
18619,22,4,0,6,0,1,25,0
19104,22,4,0,6,1,1,40,0
20826,22,4,0,6,0,1,30,0
22202,22,4,0,6,#N/A,1,40,0
22335,22,4,0,6,0,1,40,0
23849,22,4,0,6,0,1,40,0
24431,22,4,0,6,0,4,84,0
25959,22,4,0,6,0,0,30,0
27319,22,4,0,6,0,1,40,0
28408,22,4,0,6,0,1,15,0
28460,22,4,0,6,0,1,30,0
30586,22,4,0,6,0,1,25,0
42976,22,5,0,6,5,1,40,0
43017,22,5,0,6,0,1,40,0
43174,22,5,0,6,#N/A,1,35,0
43698,22,5,0,6,0,1,40,0
11510,33,5,0,6,0,4,20,0
23616,22,5,0,6,5,2,45,0
36234,27,5,0,6,5,1,52,0
98,51,5,0,6,5,1,40,0
1235,24,5,0,6,6,1,45,0
10733,20,5,0,6,5,2,30,0
3953,23,5,0,6,5,1,40,0
4119,23,5,0,6,0,1,40,0
4159,23,5,0,6,0,1,50,0
4377,23,5,0,6,0,1,18,0
7846,23,5,0,6,0,1,20,0
9837,23,5,0,6,5,1,40,0
15255,23,5,0,6,5,1,30,0
18878,23,5,0,6,0,2,40,0
24246,23,5,0,6,5,1,40,0
25400,23,5,0,6,0,3,40,0
28120,23,5,0,6,0,1,40,0
29519,23,5,0,6,0,1,60,0
32221,23,5,0,6,5,1,40,0
40226,23,5,0,6,0,1,44,0
43002,23,5,0,6,0,1,40,0
43044,23,5,0,6,0,0,30,0
45444,23,5,0,6,5,1,40,0
46583,23,5,0,6,5,0,40,0
46653,23,5,0,6,0,1,40,0
35967,28,5,0,6,5,1,40,0
2715,38,5,0,6,5,1,50,0
1910,26,5,0,6,5,1,40,0
37065,25,5,0,6,0,1,30,0
36953,30,5,0,6,0,1,40,0
272,35,5,0,6,5,1,40,1
8879,24,5,0,6,0,1,40,0
14463,24,5,0,6,0,1,45,0
20152,24,5,0,6,5,1,40,0
20500,24,5,0,6,0,1,49,0
25857,24,5,0,6,5,1,40,0
30084,24,5,0,6,1,1,58,0
33038,24,5,0,6,0,1,30,0
45061,24,5,0,6,0,1,15,0
23645,28,5,0,6,#N/A,1,32,0
11982,39,5,0,6,0,1,40,0
36547,48,5,0,6,0,1,40,0
38197,18,5,0,6,5,1,55,0
7359,25,5,0,6,0,1,40,0
9979,25,5,0,6,0,1,40,0
13916,25,5,0,6,0,2,35,0
16501,25,5,0,6,0,1,40,0
18731,25,5,0,6,#N/A,1,25,0
22965,25,5,0,6,5,1,45,0
25093,25,5,0,6,5,2,50,0
25288,25,5,0,6,0,1,40,0
26992,25,5,0,6,5,1,35,0
27038,25,5,0,6,0,2,40,0
27284,25,5,0,6,0,1,40,0
27958,25,5,0,6,0,1,40,0
28128,25,5,0,6,5,1,40,0
29208,25,5,0,6,0,1,24,0
33217,25,5,0,6,0,1,40,0
33737,25,5,0,6,5,1,40,0
34784,25,5,0,6,5,1,40,0
43821,25,5,0,6,5,1,40,0
47422,25,5,0,6,0,1,50,0
23625,20,5,0,6,5,1,30,1
292,21,5,0,6,5,1,40,0
11536,35,5,0,6,8,1,40,0
3055,29,5,0,6,0,1,25,0
1054,43,5,0,6,1,1,40,0
23639,20,5,0,6,5,1,40,0
39181,34,5,0,6,5,2,40,0
2993,28,5,0,6,5,1,50,1
4861,26,5,0,6,5,1,38,0
5542,26,5,0,6,5,1,40,0
5684,26,5,0,6,0,1,24,0
9041,26,5,0,6,0,1,40,0
13191,26,5,0,6,5,1,48,0
15968,26,5,0,6,0,1,40,0
18190,26,5,0,6,5,1,35,0
22224,26,5,0,6,0,1,40,0
23786,26,5,0,6,5,1,40,0
24118,26,5,0,6,0,1,40,0
24584,26,5,0,6,5,1,40,0
30978,26,5,0,6,5,1,40,0
35092,26,5,0,6,1,1,30,0
40187,26,5,0,6,0,2,40,0
40321,26,5,0,6,0,1,55,0
45861,26,5,0,6,0,2,20,0
46369,26,5,0,6,5,2,40,0
38022,28,5,0,6,5,1,55,0
40132,21,5,0,6,1,1,35,0
10498,41,5,0,6,8,2,40,0
10012,38,5,0,6,5,2,40,0
10682,46,5,0,6,1,1,40,0
38109,36,5,0,6,5,1,40,0
11683,26,5,0,6,#N/A,2,40,0
12194,28,5,0,6,5,1,38,0
38012,19,5,0,6,0,1,25,0
39714,22,5,0,6,5,2,40,0
36069,22,5,0,6,0,2,40,0
36419,27,5,0,6,5,0,30,1
3641,27,5,0,6,5,1,40,0
5325,27,5,0,6,1,1,40,0
9533,27,5,0,6,0,2,40,0
11751,34,5,0,6,5,1,40,0
12481,27,5,0,6,0,1,40,0
13926,27,5,0,6,0,1,40,0
14564,27,5,0,6,5,2,30,0
15304,27,5,0,6,5,1,20,0
16760,27,5,0,6,0,1,40,0
17831,27,5,0,6,0,1,40,0
17918,27,5,0,6,1,1,40,0
19447,27,5,0,6,5,1,40,0
23001,27,5,0,6,5,1,40,0
23248,27,5,0,6,1,4,75,0
23949,27,5,0,6,0,1,60,0
27411,27,5,0,6,5,1,40,0
28383,27,5,0,6,5,1,55,0
30814,27,5,0,6,5,1,40,0
32122,27,5,0,6,5,1,40,0
33387,27,5,0,6,0,1,60,0
41799,27,5,0,6,0,1,30,0
44809,27,5,0,6,0,1,40,0
47540,27,5,0,6,#N/A,1,35,0
11505,22,5,0,6,5,1,50,0
10556,32,5,0,6,#N/A,0,40,0
3280,30,5,0,6,0,1,20,0
38207,23,5,0,6,5,1,40,0
39692,18,5,0,6,5,2,40,0
10301,45,5,0,6,0,2,15,0
11015,46,5,0,6,1,1,35,0
18045,28,5,0,6,0,2,45,0
18864,28,5,0,6,5,1,50,0
19120,28,5,0,6,1,1,40,0
19725,28,5,0,6,0,4,40,0
20319,28,5,0,6,1,1,40,0
24051,28,5,0,6,0,1,40,0
26266,28,5,0,6,5,3,48,0
27651,28,5,0,6,0,2,40,0
28814,28,5,0,6,5,1,40,0
29601,28,5,0,6,0,1,40,0
29820,28,5,0,6,0,1,40,0
31618,28,5,0,6,0,1,40,0
32538,28,5,0,6,6,1,40,0
40551,28,5,0,6,0,1,30,0
41453,28,5,0,6,5,1,36,0
41732,28,5,0,6,0,1,40,0
42079,28,5,0,6,5,1,40,0
43054,28,5,0,6,0,1,35,0
43545,28,5,0,6,0,1,15,0
44544,28,5,0,6,0,1,40,0
44759,28,5,0,6,1,1,40,0
46678,28,5,0,6,5,1,40,0
47775,28,5,0,6,0,1,45,0
35833,28,5,0,6,5,1,40,0
11651,33,5,0,6,5,1,40,0
38713,28,5,0,6,6,0,40,0
39324,18,5,0,6,0,1,40,0
974,41,5,0,6,5,1,40,0
2049,36,5,0,6,0,1,15,0
370,24,5,0,6,1,1,40,0
10127,35,5,0,6,5,2,65,0
38350,24,5,0,6,5,1,70,0
10181,33,5,0,6,0,2,20,0
38389,31,5,0,6,0,1,40,0
5351,29,5,0,6,0,1,38,0
9215,29,5,0,6,5,1,45,1
13868,29,5,0,6,0,1,43,0
14571,29,5,0,6,5,1,40,0
18064,29,5,0,6,0,1,40,0
19275,29,5,0,6,5,4,40,0
19644,29,5,0,6,0,2,32,0
21164,29,5,0,6,5,1,40,0
25786,29,5,0,6,#N/A,1,40,0
27909,29,5,0,6,5,1,40,0
30637,29,5,0,6,5,1,40,0
31348,29,5,0,6,1,2,25,0
31910,29,5,0,6,0,1,40,0
39771,36,5,0,6,5,1,40,1
42958,29,5,0,6,6,1,40,0
47705,29,5,0,6,0,1,40,0
37808,18,5,0,6,5,1,48,0
38042,35,5,0,6,1,1,48,0
10864,38,5,0,6,#N/A,2,33,0
106,18,5,0,6,#N/A,1,40,0
294,53,5,0,6,1,1,40,0
3700,30,5,0,6,0,1,40,0
4397,30,5,0,6,5,1,40,0
8071,30,5,0,6,0,1,50,0
12632,30,5,0,6,5,1,45,0
19554,30,5,0,6,0,1,50,0
20080,30,5,0,6,0,1,18,0
24414,30,5,0,6,5,1,55,0
30103,30,5,0,6,0,0,40,0
31482,30,5,0,6,0,2,40,0
33124,30,5,0,6,5,1,40,0
33473,30,5,0,6,1,4,40,0
47028,30,5,0,6,5,1,40,0
40027,35,5,0,6,5,1,65,1
39977,28,5,0,6,5,1,40,0
12287,27,5,0,6,5,1,40,0
3133,42,5,0,6,5,1,40,0
12333,26,5,0,6,1,2,64,0
39426,22,5,0,6,5,1,25,0
39208,34,5,0,6,1,2,35,0
36597,35,5,0,6,1,1,40,0
1105,21,5,0,6,0,1,38,0
7944,31,5,0,6,1,1,40,0
8033,31,5,0,6,0,1,99,0
14524,31,5,0,6,5,1,40,0
17767,31,5,0,6,5,1,40,0
18057,31,5,0,6,5,1,40,0
20306,31,5,0,6,5,1,40,1
23332,31,5,0,6,0,2,40,0
23917,31,5,0,6,1,1,40,0
25372,31,5,0,6,0,1,40,0
29678,31,5,0,6,5,1,40,0
35023,31,5,0,6,0,1,40,0
35742,31,5,0,6,5,1,40,0
41749,31,5,0,6,5,1,40,0
42408,31,5,0,6,1,1,40,0
42588,31,5,0,6,5,1,40,0
45912,31,5,0,6,1,1,40,0
47961,31,5,0,6,#N/A,1,40,0
48610,31,5,0,6,1,1,38,0
12049,26,5,0,6,0,1,45,0
38055,29,5,0,6,0,1,40,0
38400,32,5,0,6,0,1,50,0
35966,45,5,0,6,0,1,10,0
2547,28,5,0,6,0,1,18,0
2880,36,5,0,6,8,1,40,0
39915,36,5,0,6,8,2,40,0
38495,28,5,0,6,#N/A,1,40,0
512,54,5,0,6,8,1,38,0
6619,32,5,0,6,5,1,40,0
7447,32,5,0,6,0,1,25,0
8544,32,5,0,6,0,2,40,0
12502,32,5,0,6,1,1,40,0
12988,32,5,0,6,0,2,50,0
14257,32,5,0,6,5,1,35,0
17047,32,5,0,6,#N/A,1,42,0
18759,32,5,0,6,#N/A,1,40,0
24526,32,5,0,6,0,1,40,0
24916,32,5,0,6,5,1,80,1
31072,32,5,0,6,0,1,45,0
31136,32,5,0,6,5,1,35,0
31480,32,5,0,6,1,1,40,0
33759,32,5,0,6,1,2,23,0
34193,32,5,0,6,1,1,40,0
41172,32,5,0,6,#N/A,2,40,0
41562,32,5,0,6,5,1,40,1
42238,32,5,0,6,0,1,50,0
43648,32,5,0,6,0,1,40,0
47149,32,5,0,6,6,2,37,0
48808,32,5,0,6,5,1,40,0
48833,32,5,0,6,5,4,40,0
534,51,5,0,6,5,2,40,0
1077,22,5,0,6,#N/A,1,38,0
11699,22,5,0,6,#N/A,1,40,0
2338,30,5,0,6,5,1,50,0
39638,23,5,0,6,5,1,40,0
38679,21,5,0,6,1,1,48,0
3193,29,5,0,6,6,2,30,0
2701,44,5,0,6,5,1,50,0
11405,41,5,0,6,1,4,40,0
38759,23,5,0,6,0,4,40,0
1012,41,5,0,6,1,1,40,0
5121,33,5,0,6,5,1,80,0
5850,33,5,0,6,5,1,40,0
6629,33,5,0,6,1,1,32,0
7345,33,5,0,6,5,1,40,0
9066,33,5,0,6,0,1,40,0
9838,33,5,0,6,5,1,40,0
12625,33,5,0,6,0,1,40,0
16706,33,5,0,6,0,1,35,0
